Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",2800.00000,01/19/2018,02/13/2018,"$8940.17 ","$12599.75 ","($3659.58)",-
,,,,Wash Sale,"$0.00 ","($1437.69)","$1437.69 ",-
,,,,Wash Sale,"$0.00 ","($5059.21)","$5059.21 ",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",100.00000,12/15/2017,01/04/2018,"$419.75 ","$407.95 ","$11.80 ",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",100.00000,12/15/2017,01/04/2018,"$419.75 ","$437.89 ","($18.14)",-
,,,,Wash Sale,"$0.00 ","($18.14)","$18.14 ",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",800.00000,12/15/2017,01/04/2018,"$3358.02 ","$3472.00 ","($113.98)",-
,,,,Wash Sale,"$0.00 ","($113.98)","$113.98 ",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",300.00000,12/20/2017,01/04/2018,"$1259.26 ","$1990.95 ","($731.69)",-
,,,,Wash Sale,"$0.00 ","($731.69)","$731.69 ",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",700.00000,12/20/2017,01/04/2018,"$2938.27 ","$4650.38 ","($1712.11)",-
,,,,Wash Sale,"$0.00 ","($1712.11)","$1712.11 ",-
IGC(45408X308),"INDIA GLOBALIZATION CAPITAL INC COM USD0.0001",300.00000,09/28/2018,10/01/2018,"$2557.01 ","$2085.66 ","$471.35 ",-
IMUC(452536204),"IMMUNOCELLULAR THERAPEUTICS COM NEW",100.00000,03/06/2018,04/23/2018,"$20.98 ","$37.85 ","($16.87)",-
IQ(46267X108),"IQIYI INC SPON EACH ADS REP 7 ORD SHS CLASS A",200.00000,08/03/2018,08/27/2018,"$6228.96 ","$6131.29 ","$97.67 ",-
IQ180831P31(3783549DD),"PUT (IQ) IQIYI INC SPON EACH AUG 31 18 $31 (100 SHS)",1.00000,08/06/2018,08/24/2018,"$320.36 ","$263.63 ","$56.73 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",15.00000,12/19/2017,02/05/2018,"$487.82 ","$1860.95 ","($1373.13)",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",15.00000,12/19/2017,02/05/2018,"$487.82 ","$1858.41 ","($1370.59)",-
,,,,Wash Sale,"$0.00 ","($1370.59)","$1370.59 ",-
,,,,Wash Sale,"$0.00 ","($1373.13)","$1373.13 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",55.00000,12/19/2017,02/05/2018,"$1788.69 ","$9111.13 ","($7322.44)",-
,,,,Wash Sale,"$0.00 ","($3331.47)","$3331.47 ",-
LFIN180316P35(3567609QM),"PUT (LFIN) LONGFIN CORP COM MAR 16 18 $35 (100 SHS)",1.00000,03/05/2018,03/06/2018,"$294.35 ","$330.64 ","($36.29)",-
LFIN180316P40(3567609OK),"PUT (LFIN) LONGFIN CORP COM MAR 16 18 $40 (100 SHS)",5.00000,03/07/2018,03/07/2018,"$3091.53 ","$3586.39 ","($494.86)",-
LFIN180420C80(3645009AY),"CALL (LFIN) LONGFIN CORP COM APR 20 18 $80 (100 SHS)",1.00000,03/23/2018,03/26/2018,"$544.34 ","$314.64 ","$229.70 ",-
LFIN180420P40(3597299QK),"PUT (LFIN) LONGFIN CORP COM APR 20 18 $40 (100 SHS)",2.00000,03/27/2018,03/28/2018,"$1793.62 ","$1946.33 ","($152.71)",-
LFIN180420P80(3645009EC),"PUT (LFIN) LONGFIN CORP COM APR 20 18 $80 (100 SHS)",1.00000,03/26/2018,03/26/2018,"$2094.31 ","$2505.64 ","($411.33)",-
LFIN180921C80(3645009IG),"CALL (LFIN) LONGFIN CORP COM SEP 21 18 $80 (100 SHS)",1.00000,03/22/2018,03/26/2018,"$623.31 ","$248.64 ","$374.67 ",-
LFIN180921C80(3645009IG),"CALL (LFIN) LONGFIN CORP COM SEP 21 18 $80 (100 SHS)",4.00000,03/22/2018,03/26/2018,"$2493.22 ","$1167.70 ","$1325.52 ",-
LINUF(G54971208),"LINIU TECHNOLOGY GROUP SHS NEW ISIN #KYG549712084",2000.00000,01/03/2018,01/04/2018,"$4134.95 ","$3604.95 ","$530.00 ",-
LITE190315C57.5(3796659TN),"CALL (LITE) LUMENTUM HLDGS INC MAR 15 19 $57.5 (100 SHS)",1.00000,08/07/2018,08/21/2018,"$1124.83 ","$957.63 ","$167.20 ",-
LITE190315C57.5(3796659TN),"CALL (LITE) LUMENTUM HLDGS INC MAR 15 19 $57.5 (100 SHS)",1.00000,08/08/2018,08/21/2018,"$1124.82 ","$797.63 ","$327.19 ",-
LTBR(53224K203),"LIGHTBRIDGE CORP COMNEW",1000.00000,12/27/2017,01/04/2018,"$1320.79 ","$1840.55 ","($519.76)",-
LTBR(53224K203),"LIGHTBRIDGE CORP COMNEW",1000.00000,12/27/2017,01/04/2018,"$1320.79 ","$1863.95 ","($543.16)",-
MARA180119C5(3480059FZ),"CALL (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",10.00000,12/01/2017,01/19/2018,"$0.00 ","$661.87 ","($661.87)",-
